frame,monotonic_frame_gap_ms
0,16.6895
1,16.6394
2,16.6710
3,16.6733
4,16.6486
5,16.7081
6,17.0663
7,16.2976
8,16.6307
9,16.6140
10,17.1176
11,18.0334
12,14.9584
13,16.5649
14,17.2162
15,16.0799
16,16.7551
17,16.6481
18,17.2876
19,16.1165
20,17.0511
21,16.2703
22,17.7990
23,15.4051
24,16.8136
25,16.7005
26,16.5511
27,16.6841
28,16.6722
29,16.6990
30,16.6712
31,16.6009
32,16.7481
33,16.6958
34,16.5202
35,16.7565
36,16.6502
37,16.7565
38,17.0930
39,32.9944
40,16.3727
41,16.7739
42,16.7138
43,16.6850
44,17.0859
45,17.1317
46,15.7073
47,16.8077
48,16.5618
49,16.6545
50,16.6439
51,16.5933
52,16.7306
53,16.5941
54,16.7462
55,17.0951
56,16.5733
57,17.5503
58,15.3435
59,16.7162
60,16.6630
61,16.6004
62,16.7577
63,16.6634
64,16.6448
65,16.5913
66,16.7531
67,16.6327
68,16.6774
69,16.6496
70,16.8183
71,16.9554
72,16.3996
73,16.5773
74,16.6235
75,16.6633
76,16.6808
77,16.6376
78,16.7083
79,16.6295
80,16.7237
81,16.6638
82,16.5223
83,17.7980
84,15.6260
85,16.6862
86,16.6244
87,16.6293
88,16.7314
89,16.6752
90,16.6274
91,16.7786
92,16.8595
93,16.3438
94,16.6137
95,16.7933
96,16.5607
97,16.6571
98,17.2524
99,16.1520
100,16.6820
101,16.6501
102,16.7235
103,16.6367
104,16.6469
105,17.2399
106,16.0860
107,16.6984
108,16.6638
109,16.6714
110,16.5008
111,17.4135
112,15.9532
113,16.7376
114,16.7927
115,16.5220
116,16.7034
117,16.8508
118,16.4525
119,16.5584
120,16.7151
121,16.8075
122,16.5742
123,16.6906
124,17.0083
125,16.3084
126,16.7474
127,16.7192
128,16.5404
129,16.5996
130,16.7657
131,16.6002
132,16.6780
133,16.7019
134,16.6888
135,16.6102
136,16.6088
137,17.1790
138,16.1416
139,16.8039
140,16.7305
141,16.5397
142,16.5788
143,16.7685
144,16.7156
145,16.6089
146,16.5844
147,16.8090
148,16.5367
149,16.8418
150,17.2124
151,16.2936
152,16.6389
153,16.4650
154,16.6190
155,16.6571
156,16.7183
157,16.6581
158,16.6516
159,16.6966
160,16.5612
161,16.7160
162,16.6443
163,18.0074
164,16.1481
165,16.1748
166,16.3508
167,16.6764
168,16.5834
169,17.1925
170,16.1864
171,16.6305
172,16.7023
173,16.7032
174,16.6519
175,17.2050
176,17.0446
177,16.3639
178,15.9832
179,16.7097
180,16.6194
181,16.7094
182,16.6295
183,16.6198
184,16.7768
185,16.7083
186,16.7531
187,16.4925
188,16.7826
189,16.5749
190,16.9912
191,16.6337
192,16.4058
193,16.7115
194,16.6109
195,16.7461
196,16.5683
197,16.6201
198,16.7565
199,16.5535
200,16.7734
201,16.6550
202,16.6117
203,16.7414
204,16.6749
205,17.4037
206,16.4506
207,16.0045
208,16.7013
209,16.7052
210,16.6995
211,16.7255
212,16.5422
213,17.2991
214,16.0123
215,16.7268
216,16.6075
217,16.6834
218,17.4971
219,15.8613
220,16.6795
221,16.6575
222,16.6555
223,16.7792
224,16.8396
225,16.7073
226,16.3840
227,16.6197
228,16.7626
229,28.8157
230,4.3057
231,16.8496
232,16.6187
233,16.7295
234,16.5821
235,16.7791
236,16.5151
237,16.8239
238,16.5833
239,16.6348
240,16.6480
241,16.8357
242,16.5895
243,16.6382
244,16.6493
245,16.6290
246,16.8306
247,16.5936
248,17.9391
249,16.4558
250,15.4770
251,16.7590
252,16.6328
253,16.6951
254,16.6800
255,16.7528
256,16.4178
257,16.8036
258,16.5919
259,16.9033
260,16.3951
261,17.0887
262,16.6951
263,16.6636
264,16.3969
265,16.4776
266,16.7084
267,16.6394
268,16.7401
269,16.6321
270,16.7864
271,16.6562
272,16.5436
273,16.5801
274,18.6717
275,15.2005
276,16.1660
277,16.7229
278,16.6171
279,16.6270
280,16.7199
281,16.7107
282,16.6091
283,16.7094
284,16.6269
285,16.9233
286,18.9645
287,15.5105
288,15.5906
289,16.2906
290,16.7426
291,16.7045
292,16.5744
293,16.7666
294,17.2344
295,16.0322
296,18.6201
297,16.1855
298,17.2706
299,15.2952
300,16.1380
301,16.6003
302,16.5709
303,16.7364
304,16.5955
305,16.7170
306,16.5780
307,16.7903
308,16.6222
309,16.8549
310,17.8840
311,15.1917
312,18.2693
313,15.1468
314,17.7488
315,15.5853
316,16.5654
317,16.8509
318,16.6506
319,16.6031
320,16.6044
321,16.9959
322,16.3629
323,16.6204
324,16.7315
325,16.7550
326,17.0291
327,16.1236
328,16.7105
329,16.7307
330,16.6158
331,16.6230
332,16.6497
333,17.6342
334,16.6964
335,15.6702
336,16.7227
337,16.6091
338,16.7220
339,16.5733
340,18.4525
341,14.8782
342,16.7208
343,16.7705
344,16.6449
345,16.9480
346,16.5034
347,16.4422
348,16.6727
349,29.8069
350,3.4753
351,16.7411
352,16.6197
353,16.6947
354,16.6739
355,16.7328
356,16.6156
357,16.7993
358,16.5737
359,16.6882
360,16.6697
361,16.6817
362,16.5547
363,16.6789
364,16.6700
365,16.6521
366,16.6526
367,17.0147
368,17.3656
369,17.3014
370,15.5742
371,16.1089
372,17.6060
373,16.7200
374,15.7207
375,16.7942
376,16.4967
377,17.9991
378,15.3422
379,16.8818
380,17.0137
381,18.8793
382,14.5720
383,16.1455
384,16.6748
385,16.6194
386,16.6579
387,16.6183
388,16.8719
389,17.2391
390,15.8912
391,16.6810
392,16.8722
393,16.5325
394,16.4289
395,17.0466
396,16.4351
397,16.6026
398,16.6550
399,16.6850
400,16.6541
401,16.6851
402,16.8477
403,16.4887
404,17.7687
405,15.7107
406,16.5521
407,16.6597
408,16.6377
409,16.6126
410,16.7177
411,16.7092
412,16.5673
413,16.7192
414,16.8936
415,16.3006
416,17.8807
417,16.0937
418,16.7034
419,16.1110
420,16.6206
421,16.6640
422,16.6139
423,16.7540
424,16.6886
425,16.6378
426,16.8466
427,16.4534
428,16.7628
429,18.5014
430,14.7627
431,16.7102
432,16.6056
433,16.6792
434,16.6782
435,16.8579
436,16.4312
437,16.7635
438,16.5692
439,16.8677
440,17.4981
441,16.9493
442,15.3496
443,16.6629
444,16.6915
445,16.5599
446,16.7637
447,16.6652
448,16.7408
449,16.5785
450,16.7865
451,16.5370
452,16.6380
453,16.6076
454,16.8092
455,16.7200
456,16.7495
457,16.4060
458,16.7936
459,16.5871
460,30.9019
461,2.9364
462,16.1697
463,16.5974
464,17.7531
465,17.1212
466,15.1797
467,16.8096
468,16.5544
469,30.7041
470,2.4892
471,16.8746
472,16.5945
473,17.0437
474,16.2835
475,16.7422
476,16.5946
477,16.6786
478,16.6965
479,16.6360
480,16.6892
481,16.5804
482,17.0173
483,17.6458
484,15.8948
485,16.1600
486,16.6404
487,16.6911
488,16.7183
489,16.9676
490,16.8393
491,16.2400
492,16.5472
493,16.7617
494,16.6163
495,16.6936
496,16.6918
497,16.6518
498,16.5990
499,16.7504
500,16.5993
501,16.7191
502,16.5640
503,16.8131
504,16.5762
505,16.5829
506,17.0232
507,16.3035
508,16.7676
