sample,request_id,generation,phase,stop_qpc_ticks,qpc_frequency,last_signal_qpc_100ns,latency_ms,valid,threshold_full_scale,tested_commit,capture_pid,provenance,audio_sha256,stop_measurements_sha256,source_analysis_sha256
0,add50e4f-1473-47ed-a783-ef1978bd0b96,5,audible_stop,665188362143,10000000,665189692951,133.08076668181457,true,1e-09,b94af81d73101d684b856bd0942de778ea74074a,38788,fixture_program_stop_native_qpc_to_target_process_wasapi_sample,8b333113123325cd8ca81e8dfda7a112eb4a6a92e727c5e67636f5fc830825b6,03efc10f8f19a99b7acbbd2270b498394c59364a8c6263583ab7b009fc513b82,0443c58102ca0cab9d68dbbea18fffcc496b52797d6077ec71a9fb63096d0a44
1,a8fc50f7-4533-4b92-b192-859028361ad1,8,audible_stop,665204695494,10000000,665206119617,142.41233332722913,true,1e-09,b94af81d73101d684b856bd0942de778ea74074a,38788,fixture_program_stop_native_qpc_to_target_process_wasapi_sample,8b333113123325cd8ca81e8dfda7a112eb4a6a92e727c5e67636f5fc830825b6,03efc10f8f19a99b7acbbd2270b498394c59364a8c6263583ab7b009fc513b82,0443c58102ca0cab9d68dbbea18fffcc496b52797d6077ec71a9fb63096d0a44
2,6ca57977-97ed-49cb-9e01-ff3ba9bff19d,11,audible_stop,665221036753,10000000,665222546284,150.95310000469908,true,1e-09,b94af81d73101d684b856bd0942de778ea74074a,38788,fixture_program_stop_native_qpc_to_target_process_wasapi_sample,8b333113123325cd8ca81e8dfda7a112eb4a6a92e727c5e67636f5fc830825b6,03efc10f8f19a99b7acbbd2270b498394c59364a8c6263583ab7b009fc513b82,0443c58102ca0cab9d68dbbea18fffcc496b52797d6077ec71a9fb63096d0a44
3,990624b6-a117-4e06-a1b6-b1b78ace4d00,14,audible_stop,665237706943,10000000,665238972951,126.60076667089015,true,1e-09,b94af81d73101d684b856bd0942de778ea74074a,38788,fixture_program_stop_native_qpc_to_target_process_wasapi_sample,8b333113123325cd8ca81e8dfda7a112eb4a6a92e727c5e67636f5fc830825b6,03efc10f8f19a99b7acbbd2270b498394c59364a8c6263583ab7b009fc513b82,0443c58102ca0cab9d68dbbea18fffcc496b52797d6077ec71a9fb63096d0a44
4,752125f8-8f6b-4c99-b65b-d667f6c51c5a,17,audible_stop,665254378949,10000000,665255826284,144.73350001208019,true,1e-09,b94af81d73101d684b856bd0942de778ea74074a,38788,fixture_program_stop_native_qpc_to_target_process_wasapi_sample,8b333113123325cd8ca81e8dfda7a112eb4a6a92e727c5e67636f5fc830825b6,03efc10f8f19a99b7acbbd2270b498394c59364a8c6263583ab7b009fc513b82,0443c58102ca0cab9d68dbbea18fffcc496b52797d6077ec71a9fb63096d0a44
5,98eaddc2-5088-4a94-ab90-71b1a23be7cc,20,audible_stop,665271213649,10000000,665272466284,125.26350001280662,true,1e-09,b94af81d73101d684b856bd0942de778ea74074a,38788,fixture_program_stop_native_qpc_to_target_process_wasapi_sample,8b333113123325cd8ca81e8dfda7a112eb4a6a92e727c5e67636f5fc830825b6,03efc10f8f19a99b7acbbd2270b498394c59364a8c6263583ab7b009fc513b82,0443c58102ca0cab9d68dbbea18fffcc496b52797d6077ec71a9fb63096d0a44
6,20736993-4cc3-4e1b-8577-4d170b9d8d11,23,audible_stop,665287717981,10000000,665289106284,138.83029999851715,true,1e-09,b94af81d73101d684b856bd0942de778ea74074a,38788,fixture_program_stop_native_qpc_to_target_process_wasapi_sample,8b333113123325cd8ca81e8dfda7a112eb4a6a92e727c5e67636f5fc830825b6,03efc10f8f19a99b7acbbd2270b498394c59364a8c6263583ab7b009fc513b82,0443c58102ca0cab9d68dbbea18fffcc496b52797d6077ec71a9fb63096d0a44
7,5314f01a-5af8-4610-bfd7-e6ccc0448d2e,26,audible_stop,665304385767,10000000,665305746284,136.0516999848187,true,1e-09,b94af81d73101d684b856bd0942de778ea74074a,38788,fixture_program_stop_native_qpc_to_target_process_wasapi_sample,8b333113123325cd8ca81e8dfda7a112eb4a6a92e727c5e67636f5fc830825b6,03efc10f8f19a99b7acbbd2270b498394c59364a8c6263583ab7b009fc513b82,0443c58102ca0cab9d68dbbea18fffcc496b52797d6077ec71a9fb63096d0a44
8,a6ea50f1-078e-4967-80cb-ab2a33dc2a2d,29,audible_stop,665320719583,10000000,665322172951,145.33676666906103,true,1e-09,b94af81d73101d684b856bd0942de778ea74074a,38788,fixture_program_stop_native_qpc_to_target_process_wasapi_sample,8b333113123325cd8ca81e8dfda7a112eb4a6a92e727c5e67636f5fc830825b6,03efc10f8f19a99b7acbbd2270b498394c59364a8c6263583ab7b009fc513b82,0443c58102ca0cab9d68dbbea18fffcc496b52797d6077ec71a9fb63096d0a44
9,cae04531-48da-41ed-a629-0508584f481a,32,audible_stop,665337392342,10000000,665338812951,142.06086668127682,true,1e-09,b94af81d73101d684b856bd0942de778ea74074a,38788,fixture_program_stop_native_qpc_to_target_process_wasapi_sample,8b333113123325cd8ca81e8dfda7a112eb4a6a92e727c5e67636f5fc830825b6,03efc10f8f19a99b7acbbd2270b498394c59364a8c6263583ab7b009fc513b82,0443c58102ca0cab9d68dbbea18fffcc496b52797d6077ec71a9fb63096d0a44
10,a8793fc4-cba6-4e26-90a4-f3700c441450,35,audible_stop,665353894504,10000000,665355452951,155.84466666041408,true,1e-09,b94af81d73101d684b856bd0942de778ea74074a,38788,fixture_program_stop_native_qpc_to_target_process_wasapi_sample,8b333113123325cd8ca81e8dfda7a112eb4a6a92e727c5e67636f5fc830825b6,03efc10f8f19a99b7acbbd2270b498394c59364a8c6263583ab7b009fc513b82,0443c58102ca0cab9d68dbbea18fffcc496b52797d6077ec71a9fb63096d0a44
11,2503a82e-bb20-4a94-9284-733f2bea8673,38,audible_stop,665370229565,10000000,665371666284,143.67190000484698,true,1e-09,b94af81d73101d684b856bd0942de778ea74074a,38788,fixture_program_stop_native_qpc_to_target_process_wasapi_sample,8b333113123325cd8ca81e8dfda7a112eb4a6a92e727c5e67636f5fc830825b6,03efc10f8f19a99b7acbbd2270b498394c59364a8c6263583ab7b009fc513b82,0443c58102ca0cab9d68dbbea18fffcc496b52797d6077ec71a9fb63096d0a44
12,be4d8cf9-0f80-4387-a410-91efe8327b9e,41,audible_stop,665386400775,10000000,665387879617,147.88423334539402,true,1e-09,b94af81d73101d684b856bd0942de778ea74074a,38788,fixture_program_stop_native_qpc_to_target_process_wasapi_sample,8b333113123325cd8ca81e8dfda7a112eb4a6a92e727c5e67636f5fc830825b6,03efc10f8f19a99b7acbbd2270b498394c59364a8c6263583ab7b009fc513b82,0443c58102ca0cab9d68dbbea18fffcc496b52797d6077ec71a9fb63096d0a44
13,b9984fd1-0a9d-4afa-84a8-a683cac4cc45,44,audible_stop,665402902379,10000000,665404306284,140.39049998973496,true,1e-09,b94af81d73101d684b856bd0942de778ea74074a,38788,fixture_program_stop_native_qpc_to_target_process_wasapi_sample,8b333113123325cd8ca81e8dfda7a112eb4a6a92e727c5e67636f5fc830825b6,03efc10f8f19a99b7acbbd2270b498394c59364a8c6263583ab7b009fc513b82,0443c58102ca0cab9d68dbbea18fffcc496b52797d6077ec71a9fb63096d0a44
14,b83d7c6b-94b7-432f-95a3-7ecf076f445a,47,audible_stop,665419411364,10000000,665420946284,153.49199999764096,true,1e-09,b94af81d73101d684b856bd0942de778ea74074a,38788,fixture_program_stop_native_qpc_to_target_process_wasapi_sample,8b333113123325cd8ca81e8dfda7a112eb4a6a92e727c5e67636f5fc830825b6,03efc10f8f19a99b7acbbd2270b498394c59364a8c6263583ab7b009fc513b82,0443c58102ca0cab9d68dbbea18fffcc496b52797d6077ec71a9fb63096d0a44
15,3388b686-958f-4d18-b1de-5efc56cfedb3,50,audible_stop,665435578760,10000000,665437159617,158.08573333197273,true,1e-09,b94af81d73101d684b856bd0942de778ea74074a,38788,fixture_program_stop_native_qpc_to_target_process_wasapi_sample,8b333113123325cd8ca81e8dfda7a112eb4a6a92e727c5e67636f5fc830825b6,03efc10f8f19a99b7acbbd2270b498394c59364a8c6263583ab7b009fc513b82,0443c58102ca0cab9d68dbbea18fffcc496b52797d6077ec71a9fb63096d0a44
16,05b41c09-4858-4ae2-b18b-32af294d566a,53,audible_stop,665452081882,10000000,665453372951,129.1068666614592,true,1e-09,b94af81d73101d684b856bd0942de778ea74074a,38788,fixture_program_stop_native_qpc_to_target_process_wasapi_sample,8b333113123325cd8ca81e8dfda7a112eb4a6a92e727c5e67636f5fc830825b6,03efc10f8f19a99b7acbbd2270b498394c59364a8c6263583ab7b009fc513b82,0443c58102ca0cab9d68dbbea18fffcc496b52797d6077ec71a9fb63096d0a44
17,3ef48e25-d952-44af-9e68-911a3390e2fc,56,audible_stop,665468583376,10000000,665470012951,142.95746666903142,true,1e-09,b94af81d73101d684b856bd0942de778ea74074a,38788,fixture_program_stop_native_qpc_to_target_process_wasapi_sample,8b333113123325cd8ca81e8dfda7a112eb4a6a92e727c5e67636f5fc830825b6,03efc10f8f19a99b7acbbd2270b498394c59364a8c6263583ab7b009fc513b82,0443c58102ca0cab9d68dbbea18fffcc496b52797d6077ec71a9fb63096d0a44
18,cbf8e577-87e9-4b20-9146-fced945fa245,59,audible_stop,665485249538,10000000,665486652951,140.3412666695658,true,1e-09,b94af81d73101d684b856bd0942de778ea74074a,38788,fixture_program_stop_native_qpc_to_target_process_wasapi_sample,8b333113123325cd8ca81e8dfda7a112eb4a6a92e727c5e67636f5fc830825b6,03efc10f8f19a99b7acbbd2270b498394c59364a8c6263583ab7b009fc513b82,0443c58102ca0cab9d68dbbea18fffcc496b52797d6077ec71a9fb63096d0a44
