run,seconds,phase,working_bytes,private_bytes,unity_bytes,motion_playables
b94-final,0.077335,Ready,528785408,779251712,76260312,4
b94-final,5.090808,Ready,554029056,779182080,76128331,4
b94-final,10.094511,Speaking,343441408,566267904,77021391,6
b94-final,15.108703,Speaking,299958272,525672448,77066200,6
b94-final,20.110177,Speaking,306376704,530690048,77297285,6
b94-final,25.111573,Speaking,298229760,521637888,77440815,6
b94-final,30.111991,Speaking,299499520,521596928,77571188,6
b94-final,35.112828,Speaking,299896832,521596928,77702317,6
b94-final,40.114067,Speaking,296439808,517529600,77931152,6
b94-final,45.114538,Speaking,296460288,517533696,78061526,6
b94-final,50.115905,Speaking,314118144,534601728,78492688,6
b94-final,55.117053,Ready,315256832,534376448,77723327,6
b94-final,60.11758,Ready,298266624,517304320,77724150,6
b94-final,65.117854,Ready,298205184,515186688,77723423,6
b94-final,70.119187,Ready,298127360,514101248,77723197,6
b94-final,75.135083,Ready,298131456,514101248,77723750,6
b94-final,80.135589,Ready,298070016,513044480,77722279,6
b94-final,85.136302,Ready,297906176,509865984,77720645,6
b94-final,90.138311,Ready,297910272,509870080,77720527,6
b94-final,95.139944,Ready,297914368,509870080,77720843,6
b94-final,100.140678,Ready,297963520,513044480,77722867,6
b94-final,105.141428,Ready,297930752,510926848,77721541,6
b94-final,110.141959,Ready,297971712,513044480,77722671,6
b94-final,115.142229,Ready,297979904,513048576,77723595,6
b94-final,120.142424,Ready,297975808,513019904,77723142,6
b94-final,125.143314,Ready,297992192,513019904,77723231,6
b94-final,130.144167,Ready,297992192,513019904,77723500,6
b94-final,135.144249,Ready,297979904,512991232,77723588,6
b94-final,140.14451,Ready,297979904,512991232,77723431,6
b94-final,145.144633,Ready,297979904,512991232,77723614,6
b94-final,150.145304,Ready,297979904,512991232,77723930,6
b94-final,155.145661,Ready,298037248,515104768,77725084,6
b94-final,160.14704,Ready,298004480,512995328,77723775,6
b94-final,165.147772,Ready,297988096,511938560,77723215,6
b94-final,170.147952,Ready,297988096,511938560,77723413,6
b94-final,175.149231,Ready,297943040,510881792,77722749,6
b94-final,180.150599,Ready,297943040,510881792,77722631,6
b94-final,185.151626,Ready,297943040,510881792,77722631,6
b94-final,190.15289,Ready,297922560,509820928,77722062,6
b94-final,195.154467,Ready,297922560,509820928,77722339,6
b94-final,200.15483,Ready,297926656,509820928,77722260,6
b94-final,205.155257,Ready,297926656,509820928,77722356,6
b94-final,210.155688,Ready,297926656,509820928,77722435,6
b94-final,215.156846,Ready,297926656,509820928,77722198,6
b94-final,220.158567,Ready,297926656,509820928,77722142,6
b94-final,225.159577,Ready,297926656,509820928,77722340,6
b94-final,230.160341,Ready,297926656,509820928,77722340,6
b94-final,235.161098,Ready,297926656,509820928,77722309,6
b94-final,240.161879,Ready,297926656,509820928,77722783,6
b94-final,245.162374,Ready,297926656,509820928,77722191,6
b94-final,250.163643,Ready,297926656,509820928,77722341,6
b94-final,255.163929,Ready,298012672,512995328,77724387,6
b94-final,260.164968,Ready,297947136,510881792,77722902,6
b94-final,265.166358,Ready,297947136,510881792,77722918,6
b94-final,270.168244,Ready,297947136,510881792,77722997,6
b94-final,275.168537,Ready,297947136,510881792,77722918,6
b94-final,280.168881,Ready,297947136,510881792,77723290,6
b94-final,285.169471,Ready,297947136,510881792,77723369,6
b94-final,290.171396,Ready,297951232,510881792,77722975,6
b94-final,295.171855,Ready,297951232,510881792,77723077,6
b94-final,300.172288,Ready,298160128,510943232,77722919,6
b94-final,305.1729,Ready,298160128,510943232,77723078,6
b94-final,310.174374,Ready,298160128,510943232,77723228,6
b94-final,315.174586,Ready,298127360,509857792,77722509,6
